tiempo_s,step,phase,pwm,pwm_pct,dt_s,delta_counts,omega_raw,omega_filt,rpm,total_counts,tension_equivalente_V
0.1,0,0,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0,0,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0,0,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0,0,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0,0,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
0.6,0,0,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
0.7,0,0,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0,0,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0,0,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0,0,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
1.1,0,0,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
1.2,0,0,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
1.3,0,0,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
1.4,0,0,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
1.5,0,0,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
1.6,0,0,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
1.7,0,0,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
1.8,0,0,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
1.9,0,0,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0,0,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
2.1,0,0,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
2.2,0,0,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
2.3,0,0,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
2.4,0,0,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
2.5,0,1,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
2.6,0,1,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
2.7,0,1,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
2.8,0,1,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
2.9,0,1,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0,1,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
3.1,0,1,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
3.2,0,1,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
3.3,0,1,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
3.4,0,1,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
3.5,0,1,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
3.6,0,1,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
3.7,0,1,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
3.8,0,1,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
3.9,0,1,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0,1,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
4.1,0,1,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
4.2,0,1,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
4.3,0,1,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
4.4,0,1,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
4.5,1,0,20,7.843,0.1,0.0,0.0,0.0,0.0,0.0,0.9411764705882353
4.6,1,0,20,7.843,0.1,0.0,0.0,0.0,0.0,0.0,0.9411764705882353
4.7,1,0,20,7.843,0.1,0.0,0.0,0.0,0.0,0.0,0.9411764705882353
4.8,1,0,20,7.843,0.1,0.0,0.0,0.0,0.0,0.0,0.9411764705882353
4.9,1,0,20,7.843,0.1,0.0,0.0,0.0,0.0,0.0,0.9411764705882353
5.0,1,0,20,7.843,0.1,0.0,0.0,0.0,0.0,0.0,0.9411764705882353
5.1,1,0,20,7.843,0.1,0.0,0.0,0.0,0.0,0.0,0.9411764705882353
5.2,1,0,20,7.843,0.1,0.0,0.0,0.0,0.0,0.0,0.9411764705882353
5.3,1,0,20,7.843,0.1,0.0,0.0,0.0,0.0,0.0,0.9411764705882353
5.4,1,0,20,7.843,0.1,0.0,0.0,0.0,0.0,0.0,0.9411764705882353
5.5,1,0,20,7.843,0.1,0.0,0.0,0.0,0.0,0.0,0.9411764705882353
5.6,1,0,20,7.843,0.1,0.0,0.0,0.0,0.0,0.0,0.9411764705882353
5.7,1,0,20,7.843,0.1,0.0,0.0,0.0,0.0,0.0,0.9411764705882353
5.8,1,0,20,7.843,0.1,0.0,0.0,0.0,0.0,0.0,0.9411764705882353
5.9,1,0,20,7.843,0.1,0.0,0.0,0.0,0.0,0.0,0.9411764705882353
6.0,1,0,20,7.843,0.1,0.0,0.0,0.0,0.0,0.0,0.9411764705882353
6.1,1,0,20,7.843,0.1,0.0,0.0,0.0,0.0,0.0,0.9411764705882353
6.2,1,0,20,7.843,0.1,0.0,0.0,0.0,0.0,0.0,0.9411764705882353
