pwm,pwm_pct,tension_equivalente_V,muestras,omega_media,omega_std,rpm_media
-255,-100.0,-12.0,20,-20.245819,0.0,-193.33333024762882
-240,-94.118,-11.294117647058824,40,-19.5084183,0.0738099426441883,-186.29167226096337
-220,-86.275,-10.352941176470589,40,-16.26210545,0.0671620173823672,-155.29166804694907
-200,-78.431,-9.411764705882353,40,-11.9729584,0.08659311346717144,-114.33333076761781
-180,-70.588,-8.470588235294118,40,-7.963064750000001,0.08557233382551942,-76.04166702739968
-160,-62.74499999999999,-7.529411764705882,40,-4.2760565,0.08837821997760739,-40.833331734913756
-140,-54.901999999999994,-6.588235294117647,39,-0.6310034358974359,0.6586833145072866,-6.025638955862811
-120,-47.059,-5.647058823529412,40,0.0,0.0,0.0
-100,-39.216,-4.705882352941177,40,0.0,0.0,0.0
-80,-31.373,-3.764705882352941,40,0.0,0.0,0.0
-60,-23.529,-2.823529411764706,40,0.0,0.0,0.0
-40,-15.686000000000002,-1.8823529411764706,40,0.0,0.0,0.0
-20,-7.843000000000001,-0.9411764705882353,40,0.0,0.0,0.0
0,0.0,0.0,60,0.0,0.0,0.0
20,7.843000000000001,0.9411764705882353,40,0.0,0.0,0.0
40,15.686000000000002,1.8823529411764706,40,0.0,0.0,0.0
60,23.529,2.823529411764706,40,0.0,0.0,0.0
80,31.373,3.764705882352941,40,0.0,0.0,0.0
100,39.216,4.705882352941177,40,0.0,0.0,0.0
120,47.059,5.647058823529412,40,0.0,0.0,0.0
140,54.902,6.588235294117647,40,0.79412465,0.8070528315630114,7.583331808717278
160,62.74499999999999,7.529411764705882,40,4.673119075,0.11514634092528278,44.62500002659653
180,70.588,8.470588235294118,40,8.3601277,0.11724695812208423,79.83333890006867
200,78.431,9.411764705882353,40,12.43547125,0.11002999653701535,118.75000314687904
220,86.275,10.352941176470589,40,16.6068074,0.10115346523559815,158.583329201104
240,94.118,11.294117647058824,40,19.4560587,0.08826717233438298,185.79167491146453
255,100.0,12.0,20,19.9927467,0.08908525778039884,190.91666779735073
