host_time,esp_ms,rssi,comm,A_sp_rpm,A_pv_rpm,A_sp_rad,A_pv_rad,A_err_rpm,A_ff,A_pid,A_pwm,A_mode,B_sp_rpm,B_pv_rpm,B_sp_rad,B_pv_rad,B_err_rpm,B_ff,B_pid,B_pwm,B_mode
2026-08-26T12:55:40.819,127757,-46,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,STOP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,STOP
2026-08-26T12:55:40.899,127857,-46,1,57.296,0.0,6.0,0.0,57.296,120.4,0.0,155.0,START,57.296,0.0,6.0,0.0,57.296,139.7,0.0,155.0,START
2026-08-26T12:55:41.000,127957,-45,1,57.296,11.667,6.0,1.222,45.629,120.4,22.8,143.2,RUN,57.296,10.0,6.0,1.047,47.296,139.7,23.6,163.3,RUN
2026-08-26T12:55:41.103,128057,-46,1,57.296,13.333,6.0,1.396,43.962,120.4,22.9,143.3,RUN,57.296,11.667,6.0,1.222,45.629,139.7,23.8,163.5,RUN
2026-08-26T12:55:41.199,128157,-48,1,57.296,21.667,6.0,2.269,35.629,120.4,19.6,140.0,RUN,57.296,25.0,6.0,2.618,32.296,139.7,18.0,157.7,RUN
2026-08-26T12:55:41.303,128257,-49,1,57.296,31.667,6.0,3.316,25.629,120.4,15.3,135.7,RUN,57.296,25.0,6.0,2.618,32.296,139.7,18.7,158.3,RUN
2026-08-26T12:55:41.402,128357,-51,1,57.296,33.333,6.0,3.491,23.962,120.4,15.0,135.4,RUN,57.296,35.0,6.0,3.665,22.296,139.7,14.3,154.0,RUN
2026-08-26T12:55:41.504,128457,-53,1,57.296,40.0,6.0,4.189,17.296,120.4,12.1,132.5,RUN,57.296,40.0,6.0,4.189,17.296,139.7,12.2,151.9,RUN
2026-08-26T12:55:41.605,128557,-55,1,57.296,43.333,6.0,4.538,13.962,120.4,10.8,131.2,RUN,57.296,45.0,6.0,4.712,12.296,139.7,10.1,149.8,RUN
2026-08-26T12:55:41.704,128657,-61,1,57.296,46.667,6.0,4.887,10.629,120.4,9.4,129.8,RUN,57.296,43.333,6.0,4.538,13.962,139.7,11.2,150.9,RUN
2026-08-26T12:55:41.803,128757,-50,1,57.296,48.333,6.0,5.061,8.962,120.4,8.8,129.2,RUN,57.296,46.667,6.0,4.887,10.629,139.7,9.8,149.5,RUN
2026-08-26T12:55:41.909,128857,-48,1,57.296,51.667,6.0,5.411,5.629,120.4,7.3,127.7,RUN,57.296,48.333,6.0,5.061,8.962,139.7,9.2,148.9,RUN
2026-08-26T12:55:42.003,128957,-51,1,57.296,53.333,6.0,5.585,3.962,120.4,6.6,127.0,RUN,57.296,48.333,6.0,5.061,8.962,139.7,9.3,149.0,RUN
2026-08-26T12:55:42.099,129057,-53,1,57.296,53.333,6.0,5.585,3.962,120.4,6.7,127.1,RUN,57.296,50.0,6.0,5.236,7.296,139.7,8.7,148.4,RUN
2026-08-26T12:55:42.204,129157,-52,1,57.296,56.667,6.0,5.934,0.629,120.4,5.1,125.5,RUN,57.296,51.667,6.0,5.411,5.629,139.7,8.0,147.7,RUN
2026-08-26T12:55:42.301,129257,-48,1,57.296,55.0,6.0,5.76,2.296,120.4,5.9,126.3,RUN,57.296,51.667,6.0,5.411,5.629,139.7,8.1,147.8,RUN
2026-08-26T12:55:42.399,129357,-51,1,57.296,55.0,6.0,5.76,2.296,120.4,6.0,126.4,RUN,57.296,53.333,6.0,5.585,3.962,139.7,7.4,147.1,RUN
2026-08-26T12:55:42.504,129457,-52,1,57.296,55.0,6.0,5.76,2.296,120.4,6.0,126.4,RUN,57.296,53.333,6.0,5.585,3.962,139.7,7.5,147.2,RUN
2026-08-26T12:55:42.605,129557,-58,1,57.296,55.0,6.0,5.76,2.296,120.4,6.1,126.5,RUN,57.296,51.667,6.0,5.411,5.629,139.7,8.4,148.1,RUN
2026-08-26T12:55:42.703,129657,-52,1,57.296,55.0,6.0,5.76,2.296,120.4,6.1,126.5,RUN,57.296,51.667,6.0,5.411,5.629,139.7,8.5,148.2,RUN
2026-08-26T12:55:42.799,129757,-55,1,57.296,58.333,6.0,6.109,-1.038,120.4,4.5,124.9,RUN,57.296,53.333,6.0,5.585,3.962,139.7,7.8,147.5,RUN
2026-08-26T12:55:42.904,129857,-57,1,57.296,56.667,6.0,5.934,0.629,120.4,5.3,125.7,RUN,57.296,51.667,6.0,5.411,5.629,139.7,8.7,148.4,RUN
2026-08-26T12:55:43.013,129957,-52,1,57.296,56.667,6.0,5.934,0.629,120.4,5.3,125.7,RUN,57.296,53.333,6.0,5.585,3.962,139.7,8.0,147.7,RUN
2026-08-26T12:55:43.102,130057,-56,1,57.296,58.333,6.0,6.109,-1.038,120.4,4.5,124.9,RUN,57.296,55.0,6.0,5.76,2.296,139.7,7.2,146.9,RUN
2026-08-26T12:55:43.202,130157,-56,1,57.296,60.0,6.0,6.283,-2.704,120.4,3.7,124.0,RUN,57.296,55.0,6.0,5.76,2.296,139.7,7.3,146.9,RUN
2026-08-26T12:55:43.312,130257,-57,1,57.296,58.333,6.0,6.109,-1.038,120.4,4.4,124.8,RUN,57.296,55.0,6.0,5.76,2.296,139.7,7.3,147.0,RUN
2026-08-26T12:55:43.413,130357,-53,1,57.296,58.333,6.0,6.109,-1.038,120.4,4.4,124.8,RUN,57.296,55.0,6.0,5.76,2.296,139.7,7.3,147.0,RUN
2026-08-26T12:55:43.500,130457,-52,1,57.296,58.333,6.0,6.109,-1.038,120.4,4.4,124.8,RUN,57.296,58.333,6.0,6.109,-1.038,139.7,5.7,145.4,RUN
2026-08-26T12:55:43.602,130557,-53,1,57.296,56.667,6.0,5.934,0.629,120.4,5.2,125.6,RUN,57.296,56.667,6.0,5.934,0.629,139.7,6.5,146.2,RUN
2026-08-26T12:55:43.728,130657,-50,1,57.296,58.333,6.0,6.109,-1.038,120.4,4.4,124.8,RUN,57.296,53.333,6.0,5.585,3.962,139.7,8.2,147.9,RUN
2026-08-26T12:55:43.801,130757,-50,1,57.296,56.667,6.0,5.934,0.629,120.4,5.2,125.6,RUN,57.296,56.667,6.0,5.934,0.629,139.7,6.6,146.3,RUN
2026-08-26T12:55:43.901,130857,-50,1,57.296,56.667,6.0,5.934,0.629,120.4,5.2,125.6,RUN,57.296,56.667,6.0,5.934,0.629,139.7,6.6,146.3,RUN
2026-08-26T12:55:44.000,130957,-47,1,57.296,55.0,6.0,5.76,2.296,120.4,6.1,126.4,RUN,57.296,56.667,6.0,5.934,0.629,139.7,6.7,146.3,RUN
2026-08-26T12:55:44.100,131057,-44,1,57.296,58.333,6.0,6.109,-1.038,120.4,4.4,124.8,RUN,57.296,56.667,6.0,5.934,0.629,139.7,6.7,146.4,RUN
2026-08-26T12:55:44.206,131157,-47,1,57.296,55.0,6.0,5.76,2.296,120.4,6.1,126.5,RUN,57.296,58.333,6.0,6.109,-1.038,139.7,5.9,145.5,RUN
2026-08-26T12:55:44.300,131257,-53,1,57.296,58.333,6.0,6.109,-1.038,120.4,4.5,124.8,RUN,57.296,56.667,6.0,5.934,0.629,139.7,6.7,146.4,RUN
