host_time,esp_ms,rssi,comm,A_sp_rpm,A_pv_rpm,A_sp_rad,A_pv_rad,A_err_rpm,A_ff,A_pid,A_pwm,A_mode,B_sp_rpm,B_pv_rpm,B_sp_rad,B_pv_rad,B_err_rpm,B_ff,B_pid,B_pwm,B_mode
2026-08-26T12:57:57.253,264057,-51,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,STOP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,STOP
2026-08-26T12:57:57.253,264157,-53,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,STOP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,STOP
2026-08-26T12:57:57.312,264257,-52,1,-38.197,0.0,-4.0,0.0,-38.197,-157.3,0.0,-155.0,START,-38.197,0.0,-4.0,0.0,-38.197,-157.3,0.0,-155.0,START
2026-08-26T12:57:57.412,264357,-53,1,-38.197,-5.0,-4.0,-0.524,-33.197,-157.3,0.0,-155.0,START,-38.197,-10.0,-4.0,-1.047,-28.197,-157.3,0.0,-155.0,START
2026-08-26T12:57:57.510,264457,-52,1,-38.197,-16.667,-4.0,-1.745,-21.531,-157.3,-10.8,-168.0,RUN,-38.197,-16.667,-4.0,-1.745,-21.531,-157.3,-10.8,-168.0,RUN
2026-08-26T12:57:57.611,264557,-48,1,-38.197,-30.0,-4.0,-3.142,-8.197,-157.3,-4.5,-161.8,RUN,-38.197,-25.0,-4.0,-2.618,-13.197,-157.3,-7.0,-164.3,RUN
2026-08-26T12:57:57.705,264657,-45,1,-38.197,-38.333,-4.0,-4.014,0.136,-157.3,-0.5,-157.8,RUN,-38.197,-36.667,-4.0,-3.84,-1.531,-157.3,-1.5,-158.7,RUN
2026-08-26T12:57:57.809,264757,-45,1,-38.197,-50.0,-4.0,-5.236,11.803,-157.3,5.3,-152.0,RUN,-38.197,-43.333,-4.0,-4.538,5.136,-157.3,1.8,-155.4,RUN
2026-08-26T12:57:57.907,264857,-47,1,-38.197,-56.667,-4.0,-5.934,18.469,-157.3,8.9,-148.4,RUN,-38.197,-50.0,-4.0,-5.236,11.803,-157.3,5.3,-152.0,RUN
2026-08-26T12:57:58.010,264957,-46,1,-38.197,-61.667,-4.0,-6.458,23.469,-157.3,11.7,-145.5,RUN,-38.197,-55.0,-4.0,-5.76,16.803,-157.3,8.0,-149.2,RUN
2026-08-26T12:57:58.105,265057,-38,1,-38.197,-68.333,-4.0,-7.156,30.136,-157.3,15.6,-141.7,RUN,-38.197,-58.333,-4.0,-6.109,20.136,-157.3,10.0,-147.2,RUN
2026-08-26T12:57:58.209,265157,-42,1,-38.197,-71.667,-4.0,-7.505,33.469,-157.3,17.8,-139.4,RUN,-38.197,-63.333,-4.0,-6.632,25.136,-157.3,12.9,-144.3,RUN
2026-08-26T12:57:58.316,265257,-49,1,-38.197,-73.333,-4.0,-7.679,35.136,-157.3,19.3,-137.9,RUN,-38.197,-63.333,-4.0,-6.632,25.136,-157.3,13.4,-143.8,RUN
2026-08-26T12:57:58.409,265357,-50,1,-38.197,-75.0,-4.0,-7.854,36.803,-157.3,20.9,-136.4,RUN,-38.197,-63.333,-4.0,-6.632,25.136,-157.3,13.9,-143.3,RUN
