host_time,esp_ms,rssi,comm,A_sp_rpm,A_pv_rpm,A_sp_rad,A_pv_rad,A_err_rpm,A_ff,A_pid,A_pwm,A_mode,B_sp_rpm,B_pv_rpm,B_sp_rad,B_pv_rad,B_err_rpm,B_ff,B_pid,B_pwm,B_mode
2026-08-26T12:59:52.782,379657,-47,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,STOP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,STOP
2026-08-26T12:59:52.816,379757,-46,1,-57.296,0.0,-6.0,0.0,-57.296,-168.4,0.0,-155.0,START,-57.296,0.0,-6.0,0.0,-57.296,-168.4,0.0,-155.0,START
2026-08-26T12:59:52.904,379857,-46,1,-57.296,-3.333,-6.0,-0.349,-53.962,-168.4,0.0,-155.0,START,-57.296,-3.333,-6.0,-0.349,-53.962,-168.4,0.0,-155.0,START
2026-08-26T12:59:53.019,379957,-43,1,-57.296,-10.0,-6.0,-1.047,-47.296,-168.4,-23.6,-192.0,RUN,-57.296,-6.667,-6.0,-0.698,-50.629,-168.4,-25.3,-193.7,RUN
2026-08-26T12:59:53.112,380057,-46,1,-57.296,-23.333,-6.0,-2.443,-33.962,-168.4,-17.9,-186.3,RUN,-57.296,-11.667,-6.0,-1.222,-45.629,-168.4,-23.8,-192.2,RUN
2026-08-26T12:59:53.206,380157,-47,1,-57.296,-36.667,-6.0,-3.84,-20.629,-168.4,-11.9,-180.3,RUN,-57.296,-26.667,-6.0,-2.793,-30.629,-168.4,-17.2,-185.6,RUN
2026-08-26T12:59:53.395,380257,-49,1,-57.296,-45.0,-6.0,-4.712,-12.296,-168.4,-8.2,-176.6,RUN,-57.296,-41.667,-6.0,-4.363,-15.629,-168.4,-10.4,-178.7,RUN
2026-08-26T12:59:53.416,380357,-49,1,-57.296,-51.667,-6.0,-5.411,-5.629,-168.4,-5.1,-173.5,RUN,-57.296,-53.333,-6.0,-5.585,-3.962,-168.4,-4.8,-173.2,RUN
2026-08-26T12:59:53.521,380457,-49,1,-57.296,-61.667,-6.0,-6.458,4.371,-168.4,-0.2,-168.6,RUN,-57.296,-56.667,-6.0,-5.934,-0.629,-168.4,-3.2,-171.6,RUN
2026-08-26T12:59:53.613,380557,-59,1,-57.296,-68.333,-6.0,-7.156,11.038,-168.4,3.2,-165.2,RUN,-57.296,-61.667,-6.0,-6.458,4.371,-168.4,-0.8,-169.2,RUN
2026-08-26T12:59:53.729,380657,-52,1,-57.296,-73.333,-6.0,-7.679,16.038,-168.4,5.9,-162.5,RUN,-57.296,-65.0,-6.0,-6.807,7.704,-168.4,1.0,-167.4,RUN
2026-08-26T12:59:53.827,380757,-52,1,-57.296,-76.667,-6.0,-8.029,19.371,-168.4,7.9,-160.5,RUN,-57.296,-66.667,-6.0,-6.981,9.371,-168.4,2.0,-166.4,RUN
2026-08-26T12:59:53.904,380857,-49,1,-57.296,-80.0,-6.0,-8.378,22.704,-168.4,10.0,-158.4,RUN,-57.296,-68.333,-6.0,-7.156,11.038,-168.4,3.0,-165.4,RUN
2026-08-26T12:59:54.021,380957,-49,1,-57.296,-80.0,-6.0,-8.378,22.704,-168.4,10.4,-158.0,RUN,-57.296,-70.0,-6.0,-7.33,12.704,-168.4,4.1,-164.3,RUN
2026-08-26T12:59:54.104,381057,-53,1,-57.296,-83.333,-6.0,-8.727,26.038,-168.4,12.5,-155.8,RUN,-57.296,-73.333,-6.0,-7.679,16.038,-168.4,6.0,-162.4,RUN
2026-08-26T12:59:54.205,381157,-56,1,-57.296,-83.333,-6.0,-8.727,26.038,-168.4,13.1,-155.3,RUN,-57.296,-73.333,-6.0,-7.679,16.038,-168.4,6.3,-162.1,RUN
2026-08-26T12:59:54.327,381257,-49,1,-57.296,-85.0,-6.0,-8.901,27.704,-168.4,14.4,-154.0,RUN,-57.296,-73.333,-6.0,-7.679,16.038,-168.4,6.6,-161.8,RUN
2026-08-26T12:59:54.408,381357,-50,1,-57.296,-83.333,-6.0,-8.727,26.038,-168.4,14.1,-154.3,RUN,-57.296,-71.667,-6.0,-7.505,14.371,-168.4,6.1,-162.3,RUN
2026-08-26T12:59:54.514,381457,-50,1,-57.296,-86.667,-6.0,-9.076,29.371,-168.4,16.3,-152.1,RUN,-57.296,-75.0,-6.0,-7.854,17.704,-168.4,8.1,-160.3,RUN
2026-08-26T12:59:54.609,381557,-53,1,-57.296,-83.333,-6.0,-8.727,26.038,-168.4,15.3,-153.1,RUN,-57.296,-73.333,-6.0,-7.679,16.038,-168.4,7.6,-160.8,RUN
2026-08-26T12:59:54.711,381657,-54,1,-57.296,-85.0,-6.0,-8.901,27.704,-168.4,16.6,-151.8,RUN,-57.296,-73.333,-6.0,-7.679,16.038,-168.4,7.9,-160.5,RUN
2026-08-26T12:59:54.807,381757,-54,1,-57.296,-83.333,-6.0,-8.727,26.038,-168.4,16.3,-152.1,RUN,-57.296,-73.333,-6.0,-7.679,16.038,-168.4,8.2,-160.2,RUN
2026-08-26T12:59:54.928,381857,-64,1,-57.296,-85.0,-6.0,-8.901,27.704,-168.4,17.7,-150.7,RUN,-57.296,-73.333,-6.0,-7.679,16.038,-168.4,8.5,-159.8,RUN
2026-08-26T12:59:55.004,381957,-61,1,-57.296,-83.333,-6.0,-8.727,26.038,-168.4,17.4,-151.0,RUN,-57.296,-75.0,-6.0,-7.854,17.704,-168.4,9.7,-158.7,RUN
2026-08-26T12:59:55.125,382057,-52,1,-57.296,-85.0,-6.0,-8.901,27.704,-168.4,18.8,-149.6,RUN,-57.296,-73.333,-6.0,-7.679,16.038,-168.4,9.2,-159.2,RUN
2026-08-26T12:59:55.204,382157,-55,1,-57.296,-81.667,-6.0,-8.552,24.371,-168.4,17.6,-150.8,RUN,-57.296,-73.333,-6.0,-7.679,16.038,-168.4,9.5,-158.9,RUN
2026-08-26T12:59:55.326,382257,-54,1,-57.296,-85.0,-6.0,-8.901,27.704,-168.4,19.8,-148.6,RUN,-57.296,-75.0,-6.0,-7.854,17.704,-168.4,10.7,-157.7,RUN
2026-08-26T12:59:55.407,382357,-55,1,-57.296,-81.667,-6.0,-8.552,24.371,-168.4,18.7,-149.7,RUN,-57.296,-73.333,-6.0,-7.679,16.038,-168.4,10.2,-158.2,RUN
2026-08-26T12:59:55.512,382457,-53,1,-57.296,-80.0,-6.0,-8.378,22.704,-168.4,18.3,-150.1,RUN,-57.296,-75.0,-6.0,-7.854,17.704,-168.4,11.4,-157.0,RUN
2026-08-26T12:59:55.610,382557,-51,1,-57.296,-85.0,-6.0,-8.901,27.704,-168.4,21.3,-147.1,RUN,-57.296,-73.333,-6.0,-7.679,16.038,-168.4,10.9,-157.5,RUN
2026-08-26T12:59:55.762,382657,-54,1,-57.296,-85.0,-6.0,-8.901,27.704,-168.4,21.8,-146.5,RUN,-57.296,-75.0,-6.0,-7.854,17.704,-168.4,12.0,-156.3,RUN
2026-08-26T12:59:55.835,382757,-54,1,-57.296,-83.333,-6.0,-8.727,26.038,-168.4,21.6,-146.8,RUN,-57.296,-76.667,-6.0,-8.029,19.371,-168.4,13.2,-155.2,RUN
2026-08-26T12:59:55.947,382857,-54,1,-57.296,-83.333,-6.0,-8.727,26.038,-168.4,22.1,-146.3,RUN,-57.296,-75.0,-6.0,-7.854,17.704,-168.4,12.8,-155.6,RUN
2026-08-26T12:59:56.009,382957,-54,1,-57.296,-83.333,-6.0,-8.727,26.038,-168.4,22.6,-145.8,RUN,-57.296,-73.333,-6.0,-7.679,16.038,-168.4,12.3,-156.1,RUN
2026-08-26T12:59:56.121,383057,-50,1,-57.296,-81.667,-6.0,-8.552,24.371,-168.4,22.3,-146.1,RUN,-57.296,-76.667,-6.0,-8.029,19.371,-168.4,14.3,-154.1,RUN
2026-08-26T12:59:56.216,383157,-52,1,-57.296,-81.667,-6.0,-8.552,24.371,-168.4,22.8,-145.6,RUN,-57.296,-73.333,-6.0,-7.679,16.038,-168.4,13.0,-155.4,RUN
2026-08-26T12:59:56.314,383257,-49,1,-57.296,-81.667,-6.0,-8.552,24.371,-168.4,23.3,-145.1,RUN,-57.296,-73.333,-6.0,-7.679,16.038,-168.4,13.3,-155.1,RUN
2026-08-26T12:59:56.415,383357,-48,1,-57.296,-83.333,-6.0,-8.727,26.038,-168.4,24.6,-143.8,RUN,-57.296,-73.333,-6.0,-7.679,16.038,-168.4,13.7,-154.7,RUN
2026-08-26T12:59:56.524,383457,-51,1,-57.296,-81.667,-6.0,-8.552,24.371,-168.4,24.3,-144.1,RUN,-57.296,-73.333,-6.0,-7.679,16.038,-168.4,14.0,-154.4,RUN
2026-08-26T12:59:56.609,383557,-50,1,-57.296,-81.667,-6.0,-8.552,24.371,-168.4,24.8,-143.6,RUN,-57.296,-75.0,-6.0,-7.854,17.704,-168.4,15.1,-153.3,RUN
2026-08-26T12:59:56.709,383657,-50,1,-57.296,-80.0,-6.0,-8.378,22.704,-168.4,24.4,-144.0,RUN,-57.296,-71.667,-6.0,-7.505,14.371,-168.4,13.8,-154.6,RUN
2026-08-26T12:59:56.813,383757,-49,1,-57.296,-78.333,-6.0,-8.203,21.038,-168.4,24.0,-144.4,RUN,-57.296,-73.333,-6.0,-7.679,16.038,-168.4,14.9,-153.5,RUN
2026-08-26T12:59:56.955,383857,-49,1,-57.296,-78.333,-6.0,-8.203,21.038,-168.4,24.5,-143.9,RUN,-57.296,-71.667,-6.0,-7.505,14.371,-168.4,14.4,-154.0,RUN
2026-08-26T12:59:57.012,383957,-53,1,-57.296,-80.0,-6.0,-8.378,22.704,-168.4,25.7,-142.7,RUN,-57.296,-73.333,-6.0,-7.679,16.038,-168.4,15.5,-152.8,RUN
2026-08-26T12:59:57.114,384057,-49,1,-57.296,-78.333,-6.0,-8.203,21.038,-168.4,25.3,-143.1,RUN,-57.296,-73.333,-6.0,-7.679,16.038,-168.4,15.9,-152.5,RUN
2026-08-26T12:59:57.210,384157,-52,1,-57.296,-80.0,-6.0,-8.378,22.704,-168.4,26.6,-141.8,RUN,-57.296,-73.333,-6.0,-7.679,16.038,-168.4,16.2,-152.2,RUN
2026-08-26T12:59:57.323,384257,-51,1,-57.296,-78.333,-6.0,-8.203,21.038,-168.4,26.2,-142.2,RUN,-57.296,-71.667,-6.0,-7.505,14.371,-168.4,15.7,-152.7,RUN
2026-08-26T12:59:57.417,384357,-51,1,-57.296,-80.0,-6.0,-8.378,22.704,-168.4,27.5,-140.9,RUN,-57.296,-71.667,-6.0,-7.505,14.371,-168.4,16.0,-152.4,RUN
2026-08-26T12:59:57.505,384457,-43,1,-57.296,-78.333,-6.0,-8.203,21.038,-168.4,27.1,-141.3,RUN,-57.296,-73.333,-6.0,-7.679,16.038,-168.4,17.1,-151.3,RUN
2026-08-26T12:59:57.605,384557,-46,1,-57.296,-78.333,-6.0,-8.203,21.038,-168.4,27.5,-140.9,RUN,-57.296,-71.667,-6.0,-7.505,14.371,-168.4,16.6,-151.8,RUN
2026-08-26T12:59:57.744,384657,-50,1,-57.296,-78.333,-6.0,-8.203,21.038,-168.4,27.9,-140.5,RUN,-57.296,-71.667,-6.0,-7.505,14.371,-168.4,16.9,-151.5,RUN
2026-08-26T12:59:57.808,384757,-49,1,-57.296,-78.333,-6.0,-8.203,21.038,-168.4,28.3,-140.0,RUN,-57.296,-73.333,-6.0,-7.679,16.038,-168.4,18.0,-150.4,RUN
2026-08-26T12:59:57.911,384857,-56,1,-57.296,-80.0,-6.0,-8.378,22.704,-168.4,29.6,-138.8,RUN,-57.296,-71.667,-6.0,-7.505,14.371,-168.4,17.5,-150.9,RUN
2026-08-26T12:59:58.018,384957,-50,1,-57.296,-78.333,-6.0,-8.203,21.038,-168.4,29.2,-139.2,RUN,-57.296,-71.667,-6.0,-7.505,14.371,-168.4,17.8,-150.6,RUN
2026-08-26T12:59:58.107,385057,-52,1,-57.296,-78.333,-6.0,-8.203,21.038,-168.4,29.6,-138.8,RUN,-57.296,-73.333,-6.0,-7.679,16.038,-168.4,18.9,-149.5,RUN
2026-08-26T12:59:58.204,385157,-52,1,-57.296,-76.667,-6.0,-8.029,19.371,-168.4,29.2,-139.2,RUN,-57.296,-73.333,-6.0,-7.679,16.038,-168.4,19.2,-149.2,RUN
2026-08-26T12:59:58.355,385257,-51,1,-57.296,-76.667,-6.0,-8.029,19.371,-168.4,29.6,-138.8,RUN,-57.296,-71.667,-6.0,-7.505,14.371,-168.4,18.7,-149.7,RUN
