host_time,esp_ms,rssi,comm,A_sp_rpm,A_pv_rpm,A_sp_rad,A_pv_rad,A_err_rpm,A_ff,A_pid,A_pwm,A_mode,B_sp_rpm,B_pv_rpm,B_sp_rad,B_pv_rad,B_err_rpm,B_ff,B_pid,B_pwm,B_mode
2026-08-26T13:23:53.037,34823,-43,1,-38.197,0.0,-4.0,0.0,-38.197,-157.3,0.0,-155.0,START,-38.197,0.0,-4.0,0.0,-38.197,-157.3,0.0,-155.0,START
2026-08-26T13:23:53.129,34923,-43,1,-38.197,-5.0,-4.0,-0.524,-33.197,-157.3,0.0,-155.0,START,-38.197,-6.667,-4.0,-0.698,-31.531,-157.3,0.0,-155.0,START
2026-08-26T13:23:53.230,35023,-40,1,-38.197,-16.667,-4.0,-1.745,-21.531,-157.3,-10.8,-168.0,RUN,-38.197,-13.333,-4.0,-1.396,-24.864,-157.3,-12.4,-169.7,RUN
2026-08-26T13:23:53.327,35123,-41,1,-38.197,-25.0,-4.0,-2.618,-13.197,-157.3,-7.0,-164.3,RUN,-38.197,-23.333,-4.0,-2.443,-14.864,-157.3,-7.9,-165.2,RUN
2026-08-26T13:23:53.433,35223,-40,1,-38.197,-36.667,-4.0,-3.84,-1.531,-157.3,-1.5,-158.7,RUN,-38.197,-33.333,-4.0,-3.491,-4.864,-157.3,-3.2,-160.5,RUN
2026-08-26T13:23:53.531,35323,-37,1,-38.197,-45.0,-4.0,-4.712,6.803,-157.3,2.7,-154.6,RUN,-38.197,-35.0,-4.0,-3.665,-3.197,-157.3,-2.5,-159.8,RUN
2026-08-26T13:23:53.630,35423,-35,1,-38.197,-53.333,-4.0,-5.585,15.136,-157.3,7.0,-150.3,RUN,-38.197,-40.0,-4.0,-4.189,1.803,-157.3,-0.1,-157.3,RUN
2026-08-26T13:23:53.727,35523,-42,1,-38.197,-60.0,-4.0,-6.283,21.803,-157.3,10.6,-146.6,RUN,-38.197,-45.0,-4.0,-4.712,6.803,-157.3,2.5,-154.8,RUN
2026-08-26T13:23:53.833,35623,-46,1,-38.197,-63.333,-4.0,-6.632,25.136,-157.3,12.7,-144.5,RUN,-38.197,-46.667,-4.0,-4.887,8.469,-157.3,3.5,-153.8,RUN
2026-08-26T13:23:53.930,35723,-49,1,-38.197,-65.0,-4.0,-6.807,26.803,-157.3,14.1,-143.2,RUN,-38.197,-51.667,-4.0,-5.411,13.469,-157.3,6.1,-151.1,RUN
