host_time,esp_ms,rssi,comm,A_sp_rpm,A_pv_rpm,A_sp_rad,A_pv_rad,A_err_rpm,A_ff,A_pid,A_pwm,A_mode,B_sp_rpm,B_pv_rpm,B_sp_rad,B_pv_rad,B_err_rpm,B_ff,B_pid,B_pwm,B_mode
2026-08-25T14:41:38.904,178020,-55,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,STOP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,STOP
2026-08-25T14:41:38.999,178120,-56,1,38.197,0.0,4.0,0.0,38.197,155.1,0.0,155.0,START,38.197,0.0,4.0,0.0,38.197,155.1,0.0,155.0,START
2026-08-25T14:41:39.100,178220,-56,1,38.197,6.667,4.0,0.698,31.531,155.1,0.0,155.0,START,38.197,10.0,4.0,1.047,28.197,155.1,0.0,155.0,START
2026-08-25T14:41:39.201,178320,-56,1,38.197,16.667,4.0,1.745,21.531,155.1,10.8,165.9,RUN,38.197,11.667,4.0,1.222,26.531,155.1,13.3,168.4,RUN
2026-08-25T14:41:39.301,178420,-53,1,38.197,28.333,4.0,2.967,9.864,155.1,5.4,160.5,RUN,38.197,23.333,4.0,2.443,14.864,155.1,8.0,163.1,RUN
2026-08-25T14:41:39.406,178520,-53,1,38.197,36.667,4.0,3.84,1.531,155.1,1.4,156.5,RUN,38.197,33.333,4.0,3.491,4.864,155.1,3.3,158.4,RUN
2026-08-25T14:41:39.507,178620,-45,1,38.197,45.0,4.0,4.712,-6.803,155.1,-2.7,152.4,RUN,38.197,40.0,4.0,4.189,-1.803,155.1,0.0,155.2,RUN
2026-08-25T14:41:39.617,178720,-47,1,38.197,51.667,4.0,5.411,-13.469,155.1,-6.2,148.9,RUN,38.197,45.0,4.0,4.712,-6.803,155.1,-2.5,152.6,RUN
2026-08-25T14:41:39.699,178820,-56,1,38.197,56.667,4.0,5.934,-18.469,155.1,-9.0,146.2,RUN,38.197,48.333,4.0,5.061,-10.136,155.1,-4.3,150.8,RUN
2026-08-25T14:41:39.799,178920,-49,1,38.197,60.0,4.0,6.283,-21.803,155.1,-11.0,144.1,RUN,38.197,51.667,4.0,5.411,-13.469,155.1,-6.2,149.0,RUN
2026-08-25T14:41:39.900,179020,-48,1,38.197,61.667,4.0,6.458,-23.469,155.1,-12.3,142.9,RUN,38.197,53.333,4.0,5.585,-15.136,155.1,-7.3,147.9,RUN
2026-08-25T14:41:40.005,179120,-50,1,38.197,63.333,4.0,6.632,-25.136,155.1,-13.6,141.6,RUN,38.197,53.333,4.0,5.585,-15.136,155.1,-7.6,147.6,RUN
