host_time,esp_ms,rssi,comm,A_sp_rpm,A_pv_rpm,A_sp_rad,A_pv_rad,A_err_rpm,A_ff,A_pid,A_pwm,A_mode,B_sp_rpm,B_pv_rpm,B_sp_rad,B_pv_rad,B_err_rpm,B_ff,B_pid,B_pwm,B_mode
2026-08-25T14:49:52.262,117204,-38,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,STOP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,STOP
2026-08-25T14:49:52.353,117304,-36,1,57.296,0.0,6.0,0.0,57.296,166.5,0.0,155.0,START,57.296,0.0,6.0,0.0,57.296,166.5,0.0,155.0,START
2026-08-25T14:49:52.467,117404,-37,1,57.296,10.0,6.0,1.047,47.296,166.5,0.0,155.0,START,57.296,1.667,6.0,0.175,55.629,166.5,0.0,155.0,START
2026-08-25T14:49:52.561,117504,-41,1,57.296,13.333,6.0,1.396,43.962,166.5,22.0,188.5,RUN,57.296,8.333,6.0,0.873,48.962,166.5,24.5,191.0,RUN
2026-08-25T14:49:52.663,117604,-39,1,57.296,23.333,6.0,2.443,33.962,166.5,17.9,184.4,RUN,57.296,18.333,6.0,1.92,38.962,166.5,20.5,187.0,RUN
2026-08-25T14:49:52.764,117704,-44,1,57.296,36.667,6.0,3.84,20.629,166.5,11.9,178.4,RUN,57.296,35.0,6.0,3.665,22.296,166.5,12.9,179.4,RUN
2026-08-25T14:49:52.873,117804,-43,1,57.296,48.333,6.0,5.061,8.962,166.5,6.5,173.0,RUN,57.296,45.0,6.0,4.712,12.296,166.5,8.4,174.9,RUN
2026-08-25T14:49:52.953,117904,-47,1,57.296,58.333,6.0,6.109,-1.038,166.5,1.6,168.1,RUN,57.296,50.0,6.0,5.236,7.296,166.5,6.1,172.6,RUN
2026-08-25T14:49:53.055,118004,-50,1,57.296,65.0,6.0,6.807,-7.704,166.5,-1.7,164.8,RUN,57.296,56.667,6.0,5.934,0.629,166.5,2.9,169.4,RUN
2026-08-25T14:49:53.158,118104,-49,1,57.296,68.333,6.0,7.156,-11.038,166.5,-3.5,163.0,RUN,57.296,61.667,6.0,6.458,-4.371,166.5,0.4,166.9,RUN
2026-08-25T14:49:53.287,118204,-50,1,57.296,73.333,6.0,7.679,-16.038,166.5,-6.3,160.3,RUN,57.296,65.0,6.0,6.807,-7.704,166.5,-1.3,165.2,RUN
2026-08-25T14:49:53.354,118304,-51,1,57.296,76.667,6.0,8.029,-19.371,166.5,-8.3,158.3,RUN,57.296,66.667,6.0,6.981,-9.371,166.5,-2.3,164.2,RUN
2026-08-25T14:49:53.461,118404,-49,1,57.296,76.667,6.0,8.029,-19.371,166.5,-8.6,157.9,RUN,57.296,70.0,6.0,7.33,-12.704,166.5,-4.2,162.3,RUN
2026-08-25T14:49:53.554,118504,-37,1,57.296,80.0,6.0,8.378,-22.704,166.5,-10.7,155.8,RUN,57.296,70.0,6.0,7.33,-12.704,166.5,-4.4,162.1,RUN
2026-08-25T14:49:53.653,118604,-37,1,57.296,80.0,6.0,8.378,-22.704,166.5,-11.1,155.4,RUN,57.296,71.667,6.0,7.505,-14.371,166.5,-5.5,161.0,RUN
2026-08-25T14:49:53.756,118704,-50,1,57.296,81.667,6.0,8.552,-24.371,166.5,-12.4,154.1,RUN,57.296,73.333,6.0,7.679,-16.038,166.5,-6.6,159.9,RUN
2026-08-25T14:49:53.854,118804,-39,1,57.296,81.667,6.0,8.552,-24.371,166.5,-12.9,153.6,RUN,57.296,73.333,6.0,7.679,-16.038,166.5,-7.0,159.6,RUN
2026-08-25T14:49:53.966,118904,-49,1,57.296,81.667,6.0,8.552,-24.371,166.5,-13.4,153.1,RUN,57.296,73.333,6.0,7.679,-16.038,166.5,-7.3,159.2,RUN
2026-08-25T14:49:54.056,119004,-49,1,57.296,81.667,6.0,8.552,-24.371,166.5,-13.9,152.6,RUN,57.296,75.0,6.0,7.854,-17.704,166.5,-8.4,158.1,RUN
2026-08-25T14:49:54.156,119104,-41,1,57.296,81.667,6.0,8.552,-24.371,166.5,-14.4,152.1,RUN,57.296,75.0,6.0,7.854,-17.704,166.5,-8.8,157.7,RUN
2026-08-25T14:49:54.264,119204,-42,1,57.296,85.0,6.0,8.901,-27.704,166.5,-16.5,150.0,RUN,57.296,76.667,6.0,8.029,-19.371,166.5,-10.0,156.5,RUN
2026-08-25T14:49:54.353,119304,-40,1,57.296,83.333,6.0,8.727,-26.038,166.5,-16.3,150.3,RUN,57.296,76.667,6.0,8.029,-19.371,166.5,-10.4,156.2,RUN
2026-08-25T14:49:54.453,119404,-34,1,57.296,83.333,6.0,8.727,-26.038,166.5,-16.8,149.7,RUN,57.296,76.667,6.0,8.029,-19.371,166.5,-10.7,155.8,RUN
2026-08-25T14:49:54.556,119504,-35,1,57.296,83.333,6.0,8.727,-26.038,166.5,-17.3,149.2,RUN,57.296,75.0,6.0,7.854,-17.704,166.5,-10.3,156.2,RUN
2026-08-25T14:49:54.664,119604,-36,1,57.296,81.667,6.0,8.552,-24.371,166.5,-17.0,149.5,RUN,57.296,75.0,6.0,7.854,-17.704,166.5,-10.7,155.9,RUN
2026-08-25T14:49:54.756,119704,-36,1,57.296,81.667,6.0,8.552,-24.371,166.5,-17.5,149.0,RUN,57.296,75.0,6.0,7.854,-17.704,166.5,-11.0,155.5,RUN
2026-08-25T14:49:54.870,119804,-37,1,57.296,83.333,6.0,8.727,-26.038,166.5,-18.8,147.7,RUN,57.296,75.0,6.0,7.854,-17.704,166.5,-11.4,155.2,RUN
2026-08-25T14:49:54.953,119904,-42,1,57.296,81.667,6.0,8.552,-24.371,166.5,-18.5,148.0,RUN,57.296,75.0,6.0,7.854,-17.704,166.5,-11.7,154.8,RUN
2026-08-25T14:49:55.058,120004,-40,1,57.296,81.667,6.0,8.552,-24.371,166.5,-19.0,147.5,RUN,57.296,76.667,6.0,8.029,-19.371,166.5,-12.9,153.6,RUN
2026-08-25T14:49:55.153,120104,-43,1,57.296,80.0,6.0,8.378,-22.704,166.5,-18.6,147.9,RUN,57.296,76.667,6.0,8.029,-19.371,166.5,-13.3,153.2,RUN
2026-08-25T14:49:55.253,120204,-40,1,57.296,81.667,6.0,8.552,-24.371,166.5,-19.9,146.6,RUN,57.296,75.0,6.0,7.854,-17.704,166.5,-12.8,153.7,RUN
2026-08-25T14:49:55.354,120304,-44,1,57.296,81.667,6.0,8.552,-24.371,166.5,-20.4,146.1,RUN,57.296,76.667,6.0,8.029,-19.371,166.5,-14.0,152.5,RUN
2026-08-25T14:49:55.453,120404,-39,1,57.296,80.0,6.0,8.378,-22.704,166.5,-20.1,146.5,RUN,57.296,75.0,6.0,7.854,-17.704,166.5,-13.6,152.9,RUN
2026-08-25T14:49:55.554,120504,-39,1,57.296,80.0,6.0,8.378,-22.704,166.5,-20.5,146.0,RUN,57.296,73.333,6.0,7.679,-16.038,166.5,-13.1,153.4,RUN
2026-08-25T14:49:55.655,120604,-39,1,57.296,81.667,6.0,8.552,-24.371,166.5,-21.8,144.7,RUN,57.296,75.0,6.0,7.854,-17.704,166.5,-14.3,152.3,RUN
2026-08-25T14:49:55.757,120704,-41,1,57.296,78.333,6.0,8.203,-21.038,166.5,-20.6,145.9,RUN,57.296,73.333,6.0,7.679,-16.038,166.5,-13.8,152.7,RUN
2026-08-25T14:49:55.866,120804,-46,1,57.296,81.667,6.0,8.552,-24.371,166.5,-22.7,143.8,RUN,57.296,73.333,6.0,7.679,-16.038,166.5,-14.1,152.4,RUN
2026-08-25T14:49:55.954,120904,-44,1,57.296,78.333,6.0,8.203,-21.038,166.5,-21.5,145.0,RUN,57.296,73.333,6.0,7.679,-16.038,166.5,-14.4,152.1,RUN
2026-08-25T14:49:56.058,121004,-52,1,57.296,76.667,6.0,8.029,-19.371,166.5,-21.1,145.4,RUN,57.296,71.667,6.0,7.505,-14.371,166.5,-13.9,152.6,RUN
